epoch,train_loss,val_loss,val_iou,val_dice
1,0.9462182410920273,0.8399654087078929,0.16569073647057872,0.28427906525576246
2,0.6873638823508577,0.5820413802154842,0.1642350643687314,0.2821338566327798
3,0.5119475165257186,0.9971996512535816,0.011627461489312005,0.02298763513634579
4,0.4179582388247625,0.47082218954683375,0.0764967345551777,0.14212162861188268
5,0.33380109193877144,0.3811648902982921,0.22112199328193974,0.3621620026474878
6,0.2790788746780988,0.3841551931339112,0.16357443021113027,0.2811585163167426
7,0.24655948095822622,0.3745404963657388,0.10844679853996397,0.19567343905509782
8,0.24072145541715398,0.30632816358217607,0.30646019178456907,0.4691458549011853
9,0.22631420086127962,0.31342590781670193,0.37819301298353636,0.5488244526284711
10,0.21666424594340153,0.26962744403988237,0.34907481489948056,0.5175025299475183
11,0.19554626699449648,0.3561024672392748,0.10066021268712778,0.18290878788355244
12,0.24028992045766875,0.30282960267579623,0.29835162134598137,0.4595852409175332
13,0.2160733943125957,0.2817592300242812,0.2297953360064763,0.37371313628931535
14,0.19443710888398877,0.2957663435842182,0.15410172705078923,0.2670505093941473
15,0.1759925428872813,0.2769854618593663,0.1644443264925444,0.282442574112361
16,0.19716079104360912,0.2723045337841798,0.37155636194856434,0.5418025423624527
17,0.18535818160516546,0.2370731850612365,0.4336968554521649,0.605004961548003
18,0.2071324650345223,0.2680816054708912,0.37432357103040176,0.5447386320380898
19,0.19134298428610946,0.294308915139099,0.36889705543641266,0.5389697552074959
20,0.16627745088389587,0.28469458282339366,0.14835406824640981,0.25837687582359226
21,0.17677023281919427,0.26212928970851496,0.1342304700660946,0.23668993843600875
22,0.16542690171526284,0.26492253052288206,0.29738765059668293,0.4584406988303165
23,0.1833514004969475,0.2186809267675481,0.4991536415397129,0.6659139233081605
24,0.15970335128784538,0.2369396065408264,0.21955004272817266,0.360050895881291
25,0.15896888958538655,0.24242196999509746,0.44140637760697404,0.6124662474989154
