epoch,train_loss,val_loss,val_iou,val_dice
1,0.8833598093916201,0.93525487670571,0.01841257231806691,0.036159357844840825
2,0.6514264543797951,0.8833753496024742,0.03530074478684349,0.06819418408534325
3,0.5310782369236204,0.6929340742432508,0.021064390235015787,0.04125967066615153
4,0.4141720347096469,0.4925096475563208,0.19026006208101834,0.3196949442265127
5,0.35372027200284656,0.5958310854921014,0.033385525515726926,0.06461388260507203
6,0.3226368505258023,0.4130559910884199,0.18234970665240707,0.30845308393350857
7,0.3012843774007409,0.5490273070789458,0.02773625818146531,0.053975439633789736
8,0.27837042316005395,0.38025433756810784,0.21013771070597242,0.3472955331395827
9,0.25217480152725535,0.3242035700381002,0.3280014148579738,0.4939775081385025
10,0.23551382430437104,0.3412531930803373,0.2078692887915333,0.34419169478098977
11,0.24564346045439178,0.34419548545180634,0.11655777099084033,0.2087805468182918
12,0.23083205938279308,0.4151682546722019,0.06572363398407678,0.12334085852704055
13,0.23575220512271167,0.4004489105352692,0.07349784623088942,0.13693152061542452
14,0.2202953751665857,0.3241307772053985,0.20158692718463495,0.335534487974101
15,0.24328842948492985,0.27667064727943536,0.3696803286567451,0.5398052683129254
16,0.2364015337691334,0.33811070334929233,0.3181240141955836,0.4826920847652204
17,0.2228510779286198,0.3077476331026692,0.21598568337718535,0.3552437932942159
18,0.2280329442187275,0.29581010569572247,0.3034113153581757,0.46556495525711883
19,0.21797232397360072,0.45371291456672125,0.04663789269701182,0.0891194424020589
20,0.21398844975034328,0.3125672951000173,0.3504361323043963,0.5189969727874638
21,0.2124001018596868,0.30585995350324585,0.2700093657604936,0.42520846387429506
22,0.22881675981666802,0.2978603451285669,0.3079273351093636,0.4708630622566138
23,0.20923780381932575,0.2927515453818507,0.3660620038142547,0.5359376116049688
24,0.21119462919951917,0.32945005355446294,0.13099097664046175,0.23163929570784428
25,0.19360459087086945,0.27869539982065294,0.40793898765976794,0.5794838998497106
