epoch,train_loss,val_loss,val_iou,val_dice
1,1.3320355518254134,0.9928330758610509,0.20203500086350815,0.3361549384475026
2,1.2239364644797175,0.915618809891361,0.16237719157384564,0.2793881241836632
3,1.124378365837537,0.8249654818502107,0.4956845523772957,0.6628196454786359
4,0.997158643123931,0.7703779612232176,0.5374741384168283,0.699165111122165
5,0.9198186982173383,0.7108564151075265,0.09921968309062784,0.18052748621032003
6,0.8467491251853452,0.6704149012785613,0.44030291655106,0.6114032145479599
7,0.6964926640405732,0.5883704017799811,0.4935810074138683,0.660936373673501
8,0.6163115419147801,0.4672384440834942,0.36043635985385325,0.5298834557649924
9,0.5370320666891001,0.4762874912678428,0.1972069864456695,0.3294450979293863
10,0.4198129360102137,0.3497155989748086,0.6172664168666794,0.7633453714602969
11,0.37257442391270285,0.3811154422138382,0.5385149409156397,0.7000451235074066
12,0.30542355683350053,0.38210540172112345,0.589213755955235,0.7415160531392128
13,0.2823473393837185,0.3321795106461759,0.5160469345662583,0.6807796286516677
14,0.23575170500348783,0.2909013878378234,0.6049556191060491,0.7538596231626714
15,0.21559656627236518,0.27736934529449553,0.6134839891636945,0.7604463301574839
16,0.22041111720311418,0.2998412736239863,0.5944350835648253,0.7456372350209356
17,0.19153983994479473,0.2484550695514602,0.5803904100372592,0.7344899163537394
18,0.19128121383208532,0.27102851430393854,0.5482075197926928,0.7081835125902225
19,0.19269290440353806,0.3027146397550219,0.2277172164214711,0.3709603699868563
20,0.17260295362723616,0.2691038690243604,0.5582205607476636,0.7164846553941232
21,0.20590479533305397,0.25172554476530384,0.5358163946312485,0.6977610038599682
22,0.17617280677000893,0.24059213335174157,0.5599607476292668,0.7179164584496899
23,0.1499830177737944,0.2273952341958273,0.5999236353307661,0.7499403372545824
24,0.1415868847169002,0.25443637715812467,0.5625294627208445,0.7200241354058152
25,0.13180154989456044,0.24289451920039665,0.5797378011743268,0.7339671187754933
