epoch,train_loss,val_loss,val_iou,val_dice
1,0.3490891024030885,0.2260664501287395,0.1598833244147859,0.2756886335881315
2,0.1667855918966733,0.12000141158508129,0.20882922322194603,0.3455065764630412
3,0.08416194725611893,0.06758855682969606,0.1541085342064135,0.2670607306658232
4,0.05140702285611597,0.042023878112883016,0.19053388867853085,0.32008141975701293
5,0.033367575320537544,0.03086417154788715,0.12888661970215012,0.22834289547369438
6,0.024730776925508843,0.06337075947500094,0.0,0.0
7,0.02107134933206415,0.01750364380812696,0.2057000606751385,0.34121265708480697
8,0.01723045043237807,0.047362890310361665,0.15952305627979535,0.2751528836202841
9,0.014367438256041453,0.05658519466291682,0.03819285328771169,0.07357564284278001
10,0.013453709999044444,0.018449299117398364,0.2122104387606571,0.35012145082270923
11,0.012445440674175686,0.011513669612365794,0.2965670228849442,0.4574650097533156
12,0.010931705148895608,0.008749439023323197,0.31707925625393246,0.4814884977473211
13,0.01051205585188864,0.008921230350752948,0.3164077830334827,0.48071393547121705
14,0.009888802854663845,0.016724243666177273,0.1711583798702408,0.2922890410248431
15,0.008718759899624392,0.009552962873670644,0.2834211926294917,0.44166512795197704
16,0.009615624896637675,0.008426169030440276,0.3007866754387445,0.46246887536312076
17,0.00861026262489944,0.008090151773162121,0.3105372524047324,0.47390831788248833
18,0.008545986435316183,0.006974125092613307,0.3173188010899183,0.48176462801164943
19,0.008068744891358105,0.007526898782854188,0.3359357038853552,0.5029219638465234
20,0.009094529140218792,0.01618200488580399,0.2524033497762992,0.4030703843476349
21,0.007413487751242872,0.007172227406458602,0.3015958258667375,0.46342469739545106
22,0.0076982571011853605,0.009562385785883061,0.2592974650244632,0.41181289127652787
23,0.007636852993726001,0.006875256388478157,0.3230568342776204,0.4883491410314314
24,0.00764992582139212,0.007543312917916152,0.29756245019099176,0.4586483681724802
25,0.007681969246619828,0.25644101694929755,0.012530536899157271,0.024750931339871773
