epoch,train_loss,val_loss,val_iou,val_dice
1,1.2266781199713495,0.8675188199644949,0.24754480345644925,0.3968511636144871
2,0.9518513472566017,0.6368765575179727,0.3763540699473847,0.546885540814032
3,0.725362541964003,0.4584153902920786,0.42472178380287673,0.5962171542983031
4,0.5180578925634357,0.44145340806616734,0.1330812281450102,0.23490147897495417
5,0.4341062586015495,0.4565022469782011,0.05652968209302536,0.10701011632922212
6,0.37903946391618926,0.27485102820989593,0.440717229375176,0.6118025388872602
7,0.30837753499001663,0.29209977606922993,0.4105726644046725,0.582136141958987
8,0.2948693794585345,0.7384039821351035,0.03706209260143573,0.07147516598252417
9,0.2614804511335516,0.30715111376469867,0.14294940485453728,0.25014126477931087
10,0.2628373047077264,2.1233063767396327,0.006457409455277461,0.012831957705537463
11,0.275680276722867,1.3444421966700084,0.009254455496341723,0.018339191758713555
12,0.2318824817616263,0.24900983759517334,0.42104694716014396,0.5925869627341656
13,0.238204109974595,0.2596698183138643,0.4117281934008494,0.5832966931247541
14,0.23569351429589114,0.38230405776607085,0.08197088751408414,0.1515214290144514
15,0.24578628023317328,0.19032721636064157,0.5227209921314051,0.6865617468105362
16,0.21592728698899408,0.22305425523880587,0.5603563648441392,0.7182415215771714
17,0.20784901972459355,0.19238554296997334,0.534753814029427,0.6968594039528138
18,0.22590795432163738,0.2220974235610323,0.5352317135388451,0.6972650562371312
19,0.27445420269572224,0.3287565347207013,0.315974873234097,0.48021414338644236
20,0.25960546052913575,0.22676286589732877,0.34691625077518234,0.5151266837496745
21,0.2549319886061895,0.21979287566428893,0.505984562017563,0.6719651379954348
22,0.21337261244579125,0.23747249003510987,0.46331470125359525,0.6332400007417159
23,0.19259171671809594,0.23744073264501803,0.4760311447811448,0.6450150411314353
24,0.17907339906531897,0.1923041623775392,0.4782572558270238,0.6470555161381009
25,0.17143506576031217,0.23272488695785928,0.3428578071911667,0.5106390346842703
